1,1.5,2,2.5,预测,真实
48.5074183976,49041.0,339.0,340.0,363.497314453,341.0
30.3774509804,6197.0,406.0,476.0,1320.35827637,901.0
8.53079710145,4709.0,2484.0,3163.0,6201.61425781,5659.0
37.5846153846,19544.0,145.0,255.0,1259.39990234,654.0
3.77832512315,767.0,472.0,586.0,1263.29614258,1225.0
4.21333333333,632.0,2152.0,2453.0,3316.63916016,3406.0
7.73529411765,1052.0,996.0,1060.0,1708.4744873,1896.0
2.62222222222,236.0,544.0,681.0,1635.98657227,1083.0
6.31034482759,2379.0,2108.0,2855.0,5531.66894531,6121.0
2.88125,461.0,495.0,568.0,1170.53637695,896.0
20.1176470588,18810.0,8.0,454.0,5753.203125,5909.0
53.3995584989,24190.0,365.0,821.0,4006.77026367,3263.0
7.92,1188.0,2374.0,2497.0,3589.91918945,6308.0
5.62869198312,1334.0,2841.0,3150.0,3656.98974609,3255.0
3.59310344828,521.0,411.0,472.0,861.908630371,560.0
21.5793991416,5028.0,563.0,1205.0,3306.62329102,2535.0
4.3125,1242.0,282.0,400.0,1076.28527832,744.0
12.7127071823,6903.0,14.0,110.0,1003.8414917,917.0
21.1989528796,4049.0,28.0,118.0,829.421325684,279.0
2.47872340426,233.0,1268.0,1594.0,3175.84790039,4485.0
39.6759259259,4285.0,227.0,440.0,1995.25927734,1315.0
16.92,2538.0,437.0,1509.0,6954.81787109,7741.0
22.3233333333,13394.0,1.0,10.0,2232.48608398,4074.0
2.18085106383,205.0,212.0,231.0,514.565673828,311.0
15.6511627907,4711.0,316.0,522.0,1662.27026367,1226.0
4.90243902439,402.0,603.0,702.0,1272.15014648,955.0
15.3807763401,8321.0,3544.0,3856.0,7428.5,6925.0
17.1401869159,3668.0,103.0,319.0,1089.31188965,911.0
9.83870967742,305.0,1342.0,1423.0,2022.03601074,1835.0
2.84126984127,716.0,1535.0,2180.0,5060.58300781,5569.0
1.26708074534,204.0,1303.0,1443.0,2328.44433594,2338.0
11.746130031,7588.0,467.0,928.0,3120.03198242,4036.0
2.2538071066,444.0,277.0,355.0,966.328796387,721.0
12.8353115727,17302.0,71.0,81.0,265.095611572,150.0
28.1238095238,2953.0,196.0,315.0,1482.91943359,1726.0
21.3,3195.0,1212.0,2264.0,7325.51855469,5423.0
33.1111111111,2384.0,156.0,210.0,1178.48266602,399.0
3.57516339869,1094.0,1052.0,1296.0,2344.65673828,2040.0
3.51037344398,846.0,851.0,983.0,1615.3190918,1243.0
10.0787878788,3326.0,1052.0,1551.0,3254.31762695,2774.0
2.3,299.0,1923.0,2345.0,2789.09521484,2579.0
13.6833333333,1642.0,429.0,732.0,2194.52172852,1584.0
67.7931034483,1966.0,450.0,536.0,2240.46777344,1184.0
9.33928571429,1569.0,79.0,95.0,538.013122559,154.0
8.1689059501,8512.0,378.0,815.0,2700.1784668,3761.0
19.9320987654,12916.0,412.0,914.0,3664.81298828,2809.0
5.56302521008,1986.0,483.0,519.0,912.722595215,660.0
20.19,2019.0,100.0,248.0,1373.84362793,620.0
2.28143712575,381.0,786.0,1296.0,3524.08935547,2903.0
1.93220338983,342.0,176.0,221.0,623.788024902,447.0
3.66788321168,1005.0,1074.0,1137.0,1565.58642578,1423.0
20.2632743363,9159.0,240.0,565.0,2607.18261719,2004.0
16.7118644068,3944.0,59.0,328.0,2306.4074707,1716.0
12.0495049505,6085.0,0.0,0.0,860.363464355,879.0
0.508474576271,30.0,48.0,61.0,341.698242188,156.0
8.18309859155,2324.0,226.0,226.0,564.987487793,274.0
3.96644295302,591.0,380.0,454.0,1050.59069824,670.0
1.86666666667,280.0,649.0,733.0,1365.82556152,1178.0
19.7800829876,4767.0,108.0,247.0,1206.51806641,774.0
2.06666666667,310.0,5686.0,6659.0,9217.06933594,10878.0
24.0,552.0,2.0,438.0,3590.67041016,3734.0
3.10144927536,856.0,619.0,888.0,2424.29321289,2062.0
22.7266666667,3409.0,509.0,2504.0,7674.16210938,4594.0
8.85441020191,8332.0,0.0,15.0,634.837341309,827.0
22.0561403509,6286.0,312.0,774.0,2967.85522461,1985.0
2.59183673469,635.0,991.0,1022.0,1307.29577637,1125.0
2.86597938144,556.0,252.0,265.0,624.647033691,362.0
9.84398496241,5237.0,0.0,0.0,1511.39758301,2405.0
4.24809160305,1113.0,1320.0,1850.0,4948.66162109,5901.0
26.2457337884,7690.0,1.0,1.0,1520.56298828,5586.0
2.93069306931,296.0,406.0,440.0,730.664367676,619.0
22.0722891566,1832.0,542.0,1071.0,4784.91064453,7109.0
22.2470588235,1891.0,20.0,127.0,1165.81347656,1033.0
21.63125,6922.0,816.0,1489.0,4870.53320312,3375.0
64.1623376623,9881.0,393.0,1318.0,6891.23339844,3534.0
29.7290322581,4608.0,245.0,488.0,2254.03442383,2488.0
6.0,1230.0,488.0,583.0,1313.51049805,1095.0
6.6430976431,1973.0,416.0,480.0,1153.15014648,624.0
4.73451327434,1605.0,1200.0,1822.0,5254.86132812,6656.0
18.942800789,9604.0,0.0,32.0,2747.04907227,2288.0
17.9964664311,5093.0,182.0,653.0,3057.45361328,2464.0
2.703125,173.0,224.0,261.0,624.419372559,371.0
33.9462809917,8215.0,137.0,216.0,875.620666504,223.0
4.7703180212,1350.0,323.0,375.0,885.023986816,634.0
2.09756097561,430.0,921.0,999.0,1414.89135742,1279.0
15.6281588448,4329.0,191.0,333.0,1127.40441895,793.0
25.0266666667,3754.0,1170.0,2632.0,8811.81542969,5218.0
2.52659574468,475.0,1276.0,1432.0,1791.36938477,1596.0
13.8782608696,1596.0,0.0,0.0,573.273071289,1178.0
21.2963917526,8263.0,135.0,137.0,565.602478027,146.0
10.7322916667,10303.0,3425.0,3740.0,4650.65820312,4624.0
51.126984127,6442.0,2.0,6.0,1072.72241211,321.0
2.65333333333,398.0,2667.0,3706.0,9166.33203125,9484.0
2.61788617886,644.0,56.0,71.0,402.689910889,123.0
8.07364341085,2083.0,1296.0,1692.0,3581.64331055,4691.0
11.4384485666,6783.0,187.0,363.0,1340.47912598,810.0
2.07886435331,659.0,144.0,166.0,559.401916504,293.0
19.6271929825,4475.0,28.0,75.0,778.179016113,908.0
30.6021505376,2846.0,1.0,1.0,626.992614746,116.0
1.4921875,191.0,575.0,661.0,1156.84753418,1051.0
32.3112244898,6333.0,26.0,67.0,1107.23657227,469.0
18.7307692308,1461.0,310.0,696.0,2971.75073242,1943.0
